,id,truth_scaled,prediction0,logstd0,avg_prediction_scaled,prediction,truth
0,2678,0.38100266,0.5716947,0.11829284,0.5716947,0.5716947,0.38100266
1,3919,0.24739255,0.19023979,0.032364815,0.19023979,0.19023979,0.24739255
2,828,0.5450841,0.5226296,0.082729094,0.5226296,0.5226296,0.5450841
3,10972,0.16809356,0.39769918,0.10505354,0.39769918,0.39769918,0.16809356
4,15974,0.4045518,0.43052888,0.055192467,0.43052888,0.43052888,0.4045518
5,4688,0.22146304,0.15950921,0.02961856,0.15950921,0.15950921,0.22146304
6,102,0.20137325,0.19169793,0.032831777,0.19169793,0.19169793,0.20137325
7,6921,0.6623417,0.5360341,0.12020118,0.5360341,0.5360341,0.6623417
8,3383,0.39637616,0.35239586,0.07217769,0.35239586,0.35239586,0.39637616
9,2935,0.5112077,0.522834,0.085756324,0.522834,0.522834,0.5112077
10,7704,0.2650437,0.45219064,0.12245959,0.45219064,0.45219064,0.2650437
11,1453,0.29742172,0.17469269,0.06792476,0.17469269,0.17469269,0.29742172
12,5168,0.5964593,0.7530528,0.23108226,0.7530528,0.7530528,0.5964593
13,9657,0.4059807,0.627369,0.19917,0.627369,0.627369,0.4059807
14,11501,0.50249803,0.6509267,0.1208481,0.6509267,0.6509267,0.50249803
15,13010,0.7753478,0.58324975,0.117809884,0.58324975,0.58324975,0.7753478
16,5692,0.19435707,0.2630554,0.063847266,0.2630554,0.2630554,0.19435707
17,3043,0.5021493,0.53755176,0.1413301,0.53755176,0.53755176,0.5021493
18,12885,0.19350755,0.21036497,0.049291715,0.21036497,0.21036497,0.19350755
19,13548,0.5326389,0.59894305,0.10855492,0.59894305,0.59894305,0.5326389
20,14635,0.20076787,0.21655521,0.056837447,0.21655521,0.21655521,0.20076787
21,5786,0.23719642,0.21278536,0.061886612,0.21278536,0.21278536,0.23719642
22,3425,0.5022165,0.44681156,0.11449688,0.44681156,0.44681156,0.5022165
23,14911,0.39011458,0.33827603,0.091077656,0.33827603,0.33827603,0.39011458
24,7921,0.9680749,0.5965926,0.15038311,0.5965926,0.5965926,0.9680749
25,8585,0.7098354,0.5499452,0.1455361,0.5499452,0.5499452,0.7098354
26,15038,0.40096185,0.48045674,0.10660157,0.48045674,0.48045674,0.40096185
27,3616,0.16608296,0.17742541,0.12596963,0.17742541,0.17742541,0.16608296
28,2676,0.16703689,0.2098591,0.04403632,0.2098591,0.2098591,0.16703689
29,12682,0.9112518,0.545893,0.14512415,0.545893,0.545893,0.9112518
30,2948,0.4104723,0.51029754,0.13525435,0.51029754,0.51029754,0.4104723
31,11790,0.22813159,0.22883391,0.05557683,0.22883391,0.22883391,0.22813159
32,14954,0.24166507,0.28563115,0.06964474,0.28563115,0.28563115,0.24166507
33,6367,0.508972,0.6806558,0.15665841,0.6806558,0.6806558,0.508972
34,9997,0.68062645,0.74345636,0.14490697,0.74345636,0.74345636,0.68062645
35,8485,0.34197658,0.4437217,0.06786396,0.4437217,0.4437217,0.34197658
36,14778,0.4228074,0.4122336,0.06527286,0.4122336,0.4122336,0.4228074
37,14041,0.17017716,0.22742271,0.051880043,0.22742271,0.22742271,0.17017716
38,6529,0.60363424,0.5452386,0.13249616,0.5452386,0.5452386,0.60363424
39,11518,0.18427037,0.15892453,0.03894364,0.15892453,0.15892453,0.18427037
40,12227,0.5520932,0.46793053,0.100786254,0.46793053,0.46793053,0.5520932
41,2861,0.2911605,0.27515906,0.050782807,0.27515906,0.27515906,0.2911605
42,6339,0.45375168,0.61072147,0.19335939,0.61072147,0.61072147,0.45375168
43,7584,0.4160852,0.53101784,0.08306186,0.53101784,0.53101784,0.4160852
44,2932,0.56911856,0.5697911,0.050793536,0.5697911,0.5697911,0.56911856
45,9862,0.17901166,0.14963776,0.025665216,0.14963776,0.14963776,0.17901166
46,4375,0.46505237,0.44031018,0.12143163,0.44031018,0.44031018,0.46505237
47,11930,0.23710112,0.30716935,0.06517211,0.30716935,0.30716935,0.23710112
48,11281,0.25826165,0.19865558,0.056900155,0.19865558,0.19865558,0.25826165
49,6333,0.395019,0.44171286,0.1311581,0.44171286,0.44171286,0.395019
