,id,truth_scaled,prediction0,logstd0,avg_prediction_scaled,prediction,truth
0,2678,0.38100266,0.5199333,0.12156473,0.5199333,0.5199333,0.38100266
1,3919,0.24739255,0.2012589,0.05838942,0.2012589,0.2012589,0.24739255
2,828,0.5450841,0.46427852,0.0994694,0.46427852,0.46427852,0.5450841
3,10972,0.16809356,0.34387505,0.11817912,0.34387505,0.34387505,0.16809356
4,15974,0.4045518,0.43379325,0.08855657,0.43379325,0.43379325,0.4045518
5,4688,0.22146304,0.1770845,0.05175197,0.1770845,0.1770845,0.22146304
6,102,0.20137325,0.31988603,0.091911905,0.31988603,0.31988603,0.20137325
7,6921,0.6623417,0.57095873,0.14230648,0.57095873,0.57095873,0.6623417
8,3383,0.39637616,0.34929964,0.08457572,0.34929964,0.34929964,0.39637616
9,2935,0.5112077,0.4914,0.1148838,0.4914,0.4914,0.5112077
10,7704,0.2650437,0.417407,0.1563046,0.417407,0.417407,0.2650437
11,1453,0.29742172,0.18853094,0.05849596,0.18853094,0.18853094,0.29742172
12,5168,0.5964593,0.6210843,0.17400771,0.6210843,0.6210843,0.5964593
13,9657,0.4059807,0.5955076,0.16390967,0.5955076,0.5955076,0.4059807
14,11501,0.50249803,0.62956923,0.14719282,0.62956923,0.62956923,0.50249803
15,13010,0.7753478,0.6120466,0.15018685,0.6120466,0.6120466,0.7753478
16,5692,0.19435707,0.29022166,0.09750684,0.29022166,0.29022166,0.19435707
17,3043,0.5021493,0.56249595,0.15384352,0.56249595,0.56249595,0.5021493
18,12885,0.19350755,0.25593868,0.08372821,0.25593868,0.25593868,0.19350755
19,13548,0.5326389,0.5625214,0.13618049,0.5625214,0.5625214,0.5326389
20,14635,0.20076787,0.21653922,0.08118673,0.21653922,0.21653922,0.20076787
21,5786,0.23719642,0.2045469,0.06894162,0.2045469,0.2045469,0.23719642
22,3425,0.5022165,0.4272101,0.15115917,0.4272101,0.4272101,0.5022165
23,14911,0.39011458,0.325775,0.08350401,0.325775,0.325775,0.39011458
24,7921,0.9680749,0.59446865,0.16345625,0.59446865,0.59446865,0.9680749
25,8585,0.7098354,0.66262513,0.18316698,0.66262513,0.66262513,0.7098354
26,15038,0.40096185,0.4337937,0.11794296,0.4337937,0.4337937,0.40096185
27,3616,0.16608296,0.24782449,0.09052332,0.24782449,0.24782449,0.16608296
28,2676,0.16703689,0.24266373,0.077498,0.24266373,0.24266373,0.16703689
29,12682,0.9112518,0.49281287,0.18188576,0.49281287,0.49281287,0.9112518
30,2948,0.4104723,0.46684352,0.11066241,0.46684352,0.46684352,0.4104723
31,11790,0.22813159,0.21192673,0.07650076,0.21192673,0.21192673,0.22813159
32,14954,0.24166507,0.28120738,0.0928868,0.28120738,0.28120738,0.24166507
33,6367,0.508972,0.72848505,0.15502486,0.72848505,0.72848505,0.508972
34,9997,0.68062645,0.79845357,0.12546913,0.79845357,0.79845357,0.68062645
35,8485,0.34197658,0.4253895,0.11146012,0.4253895,0.4253895,0.34197658
36,14778,0.4228074,0.42465788,0.08171852,0.42465788,0.42465788,0.4228074
37,14041,0.17017716,0.2231069,0.051490538,0.2231069,0.2231069,0.17017716
38,6529,0.60363424,0.5423372,0.15014336,0.5423372,0.5423372,0.60363424
39,11518,0.18427037,0.21703857,0.08992948,0.21703857,0.21703857,0.18427037
40,12227,0.5520932,0.4665461,0.122634195,0.4665461,0.4665461,0.5520932
41,2861,0.2911605,0.3125158,0.09690221,0.3125158,0.3125158,0.2911605
42,6339,0.45375168,0.63118386,0.17125991,0.63118386,0.63118386,0.45375168
43,7584,0.4160852,0.49140182,0.12021362,0.49140182,0.49140182,0.4160852
44,2932,0.56911856,0.46863982,0.10087345,0.46863982,0.46863982,0.56911856
45,9862,0.17901166,0.1839146,0.050123986,0.1839146,0.1839146,0.17901166
46,4375,0.46505237,0.3664797,0.15400805,0.3664797,0.3664797,0.46505237
47,11930,0.23710112,0.24133451,0.08222952,0.24133451,0.24133451,0.23710112
48,11281,0.25826165,0.25763935,0.10228077,0.25763935,0.25763935,0.25826165
49,6333,0.395019,0.41241932,0.15351593,0.41241932,0.41241932,0.395019
50,12959,0.6961884,0.48616478,0.13406105,0.48616478,0.48616478,0.6961884
51,14102,0.70203394,0.3720817,0.12897868,0.3720817,0.3720817,0.70203394
52,3635,0.5140164,0.31393766,0.09845129,0.31393766,0.31393766,0.5140164
53,2684,0.46619675,0.439716,0.1177025,0.439716,0.439716,0.46619675
54,10797,0.19648436,0.2887986,0.08870317,0.2887986,0.2887986,0.19648436
55,1213,0.24373257,0.2583617,0.07359224,0.2583617,0.2583617,0.24373257
56,4671,0.42981088,0.5616559,0.14937438,0.5616559,0.5616559,0.42981088
57,11113,0.77046275,0.7035341,0.15440245,0.7035341,0.7035341,0.77046275
58,4139,0.30589548,0.409324,0.11540925,0.409324,0.409324,0.30589548
59,736,0.51917064,0.44865444,0.11607606,0.44865444,0.44865444,0.51917064
60,15553,0.5006622,0.45409912,0.12246631,0.45409912,0.45409912,0.5006622
61,9595,0.33207095,0.34690842,0.067396924,0.34690842,0.34690842,0.33207095
62,1261,0.21074083,0.20371947,0.062263254,0.20371947,0.20371947,0.21074083
63,1889,0.33711815,0.35528252,0.10849474,0.35528252,0.35528252,0.33711815
64,6594,0.4788467,0.44089395,0.11660191,0.44089395,0.44089395,0.4788467
65,11570,0.6170278,0.49385265,0.12374997,0.49385265,0.49385265,0.6170278
66,9234,0.9175223,0.5115061,0.13813964,0.5115061,0.5115061,0.9175223
67,4762,0.6753135,0.51644063,0.18407297,0.51644063,0.51644063,0.6753135
68,16027,0.36814085,0.20373926,0.053196736,0.20373926,0.20373926,0.36814085
69,5550,0.41347167,0.48968056,0.14869463,0.48968056,0.48968056,0.41347167
70,13525,0.39769432,0.3625804,0.13648921,0.3625804,0.3625804,0.39769432
71,88,0.5614303,0.43483114,0.13160384,0.43483114,0.43483114,0.5614303
72,13853,0.6222113,0.5891397,0.18546794,0.5891397,0.5891397,0.6222113
73,11032,0.2064715,0.2671702,0.088195756,0.2671702,0.2671702,0.2064715
74,4772,0.18730506,0.20486812,0.040745888,0.20486812,0.20486812,0.18730506
75,14666,0.3304129,0.3008923,0.10079555,0.3008923,0.3008923,0.3304129
76,14796,0.2139443,0.20666854,0.07271468,0.20666854,0.20666854,0.2139443
77,11266,0.18806705,0.31330144,0.096231855,0.31330144,0.31330144,0.18806705
78,11226,0.21614963,0.24118313,0.08024638,0.24118313,0.24118313,0.21614963
79,12524,0.47388116,0.3105326,0.09977989,0.3105326,0.3105326,0.47388116
80,720,0.43029404,0.45062917,0.10136652,0.45062917,0.45062917,0.43029404
81,15927,0.3642302,0.33922857,0.124816164,0.33922857,0.33922857,0.3642302
82,15990,0.661335,0.53856945,0.13931048,0.53856945,0.53856945,0.661335
83,5958,0.19129017,0.21379447,0.07812679,0.21379447,0.21379447,0.19129017
84,10522,0.23068754,0.2336773,0.07740241,0.2336773,0.2336773,0.23068754
85,6872,0.51431245,0.4501551,0.10443513,0.4501551,0.4501551,0.51431245
86,16072,0.1542363,0.1694472,0.04569278,0.1694472,0.1694472,0.1542363
87,13096,0.49390718,0.5880616,0.15733838,0.5880616,0.5880616,0.49390718
