,id,truth_scaled,prediction0,avg_prediction_scaled,prediction,truth
0,2678,0.38100266,0.50511193,0.50511193,0.50511193,0.38100266
1,3919,0.24739255,0.25200182,0.25200182,0.25200182,0.24739255
2,828,0.5450841,0.46446866,0.46446866,0.46446866,0.5450841
3,10972,0.16809356,0.3756788,0.3756788,0.3756788,0.16809356
4,15974,0.4045518,0.45029384,0.45029384,0.45029384,0.4045518
5,4688,0.22146304,0.17461053,0.17461053,0.17461053,0.22146304
6,102,0.20137325,0.17855264,0.17855264,0.17855264,0.20137325
7,6921,0.6623417,0.60652333,0.60652333,0.60652333,0.6623417
8,3383,0.39637616,0.33701885,0.33701885,0.33701885,0.39637616
9,2935,0.5112077,0.50253594,0.50253594,0.50253594,0.5112077
10,7704,0.2650437,0.42877805,0.42877805,0.42877805,0.2650437
11,1453,0.29742172,0.1851061,0.1851061,0.1851061,0.29742172
12,5168,0.5964593,0.6255109,0.6255109,0.6255109,0.5964593
13,9657,0.4059807,0.7788441,0.7788441,0.7788441,0.4059807
14,11501,0.50249803,0.61368483,0.61368483,0.61368483,0.50249803
15,13010,0.7753478,0.5954459,0.5954459,0.5954459,0.7753478
16,5692,0.19435707,0.19915295,0.19915295,0.19915295,0.19435707
17,3043,0.5021493,0.5589443,0.5589443,0.5589443,0.5021493
18,12885,0.19350755,0.19633293,0.19633293,0.19633293,0.19350755
19,13548,0.5326389,0.6020258,0.6020258,0.6020258,0.5326389
20,14635,0.20076787,0.21446493,0.21446493,0.21446493,0.20076787
21,5786,0.23719642,0.19413233,0.19413233,0.19413233,0.23719642
22,3425,0.5022165,0.4692577,0.4692577,0.4692577,0.5022165
23,14911,0.39011458,0.41581297,0.41581297,0.41581297,0.39011458
24,7921,0.9680749,0.60207987,0.60207987,0.60207987,0.9680749
25,8585,0.7098354,0.6090288,0.6090288,0.6090288,0.7098354
26,15038,0.40096185,0.5010626,0.5010626,0.5010626,0.40096185
27,3616,0.16608296,0.17882502,0.17882502,0.17882502,0.16608296
28,2676,0.16703689,0.2485149,0.2485149,0.2485149,0.16703689
29,12682,0.9112518,0.5444634,0.5444634,0.5444634,0.9112518
30,2948,0.4104723,0.5598832,0.5598832,0.5598832,0.4104723
31,11790,0.22813159,0.24584946,0.24584946,0.24584946,0.22813159
32,14954,0.24166507,0.2919779,0.2919779,0.2919779,0.24166507
33,6367,0.508972,0.5892401,0.5892401,0.5892401,0.508972
34,9997,0.68062645,0.70647144,0.70647144,0.70647144,0.68062645
35,8485,0.34197658,0.4308001,0.4308001,0.4308001,0.34197658
36,14778,0.4228074,0.42223465,0.42223465,0.42223465,0.4228074
37,14041,0.17017716,0.22528237,0.22528237,0.22528237,0.17017716
38,6529,0.60363424,0.56217074,0.56217074,0.56217074,0.60363424
39,11518,0.18427037,0.1268735,0.1268735,0.1268735,0.18427037
40,12227,0.5520932,0.52944136,0.52944136,0.52944136,0.5520932
41,2861,0.2911605,0.27516615,0.27516615,0.27516615,0.2911605
42,6339,0.45375168,0.6003361,0.6003361,0.6003361,0.45375168
43,7584,0.4160852,0.5114049,0.5114049,0.5114049,0.4160852
44,2932,0.56911856,0.6576362,0.6576362,0.6576362,0.56911856
45,9862,0.17901166,0.17605677,0.17605677,0.17605677,0.17901166
46,4375,0.46505237,0.35209778,0.35209778,0.35209778,0.46505237
47,11930,0.23710112,0.28204456,0.28204456,0.28204456,0.23710112
48,11281,0.25826165,0.21630321,0.21630321,0.21630321,0.25826165
49,6333,0.395019,0.48405117,0.48405117,0.48405117,0.395019
50,12959,0.6961884,0.49701962,0.49701962,0.49701962,0.6961884
51,14102,0.70203394,0.47407824,0.47407824,0.47407824,0.70203394
52,3635,0.5140164,0.3249447,0.3249447,0.3249447,0.5140164
53,2684,0.46619675,0.5465401,0.5465401,0.5465401,0.46619675
54,10797,0.19648436,0.26993862,0.26993862,0.26993862,0.19648436
55,1213,0.24373257,0.2814097,0.2814097,0.2814097,0.24373257
