,id,truth_scaled,prediction0,avg_prediction_scaled,prediction,truth
0,2678,0.38100266,0.6473514,0.6473514,0.6473514,0.38100266
1,3919,0.24739255,0.2663284,0.2663284,0.2663284,0.24739255
2,828,0.5450841,0.44836515,0.44836515,0.44836515,0.5450841
3,10972,0.16809356,0.50306433,0.50306433,0.50306433,0.16809356
4,15974,0.4045518,0.43969068,0.43969068,0.43969068,0.4045518
5,4688,0.22146304,0.1846967,0.1846967,0.1846967,0.22146304
6,102,0.20137325,0.27313775,0.27313775,0.27313775,0.20137325
7,6921,0.6623417,0.76339877,0.76339877,0.76339877,0.6623417
8,3383,0.39637616,0.3784061,0.3784061,0.3784061,0.39637616
9,2935,0.5112077,0.5900969,0.5900969,0.5900969,0.5112077
10,7704,0.2650437,0.622266,0.622266,0.622266,0.2650437
11,1453,0.29742172,0.26368445,0.26368445,0.26368445,0.29742172
12,5168,0.5964593,0.8968327,0.8968327,0.8968327,0.5964593
13,9657,0.4059807,0.8553719,0.8553719,0.8553719,0.4059807
14,11501,0.50249803,0.76969147,0.76969147,0.76969147,0.50249803
15,13010,0.7753478,0.75057673,0.75057673,0.75057673,0.7753478
16,5692,0.19435707,0.35722068,0.35722068,0.35722068,0.19435707
17,3043,0.5021493,0.7755192,0.7755192,0.7755192,0.5021493
18,12885,0.19350755,0.27205986,0.27205986,0.27205986,0.19350755
19,13548,0.5326389,0.69614476,0.69614476,0.69614476,0.5326389
20,14635,0.20076787,0.29482684,0.29482684,0.29482684,0.20076787
21,5786,0.23719642,0.25684252,0.25684252,0.25684252,0.23719642
22,3425,0.5022165,0.6027181,0.6027181,0.6027181,0.5022165
23,14911,0.39011458,0.4026916,0.4026916,0.4026916,0.39011458
24,7921,0.9680749,0.6871799,0.6871799,0.6871799,0.9680749
25,8585,0.7098354,0.6388359,0.6388359,0.6388359,0.7098354
26,15038,0.40096185,0.54323936,0.54323936,0.54323936,0.40096185
27,3616,0.16608296,0.25280935,0.25280935,0.25280935,0.16608296
28,2676,0.16703689,0.29693705,0.29693705,0.29693705,0.16703689
29,12682,0.9112518,0.6871571,0.6871571,0.6871571,0.9112518
30,2948,0.4104723,0.61089915,0.61089915,0.61089915,0.4104723
31,11790,0.22813159,0.32588482,0.32588482,0.32588482,0.22813159
32,14954,0.24166507,0.4246432,0.4246432,0.4246432,0.24166507
33,6367,0.508972,0.954378,0.954378,0.954378,0.508972
34,9997,0.68062645,0.883116,0.883116,0.883116,0.68062645
