,id,truth_scaled,prediction0,logstd0,avg_prediction_scaled,prediction,truth
0,2678,0.38100266,0.5256948,0.10710493,0.5256948,0.5256948,0.38100266
1,3919,0.24739255,0.20728534,0.05579524,0.20728534,0.20728534,0.24739255
2,828,0.5450841,0.46276045,0.07397044,0.46276045,0.46276045,0.5450841
3,10972,0.16809356,0.36263323,0.10100034,0.36263323,0.36263323,0.16809356
4,15974,0.4045518,0.3869133,0.0782424,0.3869133,0.3869133,0.4045518
5,4688,0.22146304,0.1577583,0.03199654,0.1577583,0.1577583,0.22146304
6,102,0.20137325,0.17535216,0.044145416,0.17535216,0.17535216,0.20137325
7,6921,0.6623417,0.55767447,0.11310458,0.55767447,0.55767447,0.6623417
8,3383,0.39637616,0.31652987,0.06350097,0.31652987,0.31652987,0.39637616
9,2935,0.5112077,0.49512738,0.10111867,0.49512738,0.49512738,0.5112077
10,7704,0.2650437,0.48003605,0.12264803,0.48003605,0.48003605,0.2650437
11,1453,0.29742172,0.17974776,0.043278966,0.17974776,0.17974776,0.29742172
12,5168,0.5964593,0.6111885,0.1449896,0.6111885,0.6111885,0.5964593
13,9657,0.4059807,0.6678979,0.17241879,0.6678979,0.6678979,0.4059807
14,11501,0.50249803,0.6129372,0.12047141,0.6129372,0.6129372,0.50249803
15,13010,0.7753478,0.6096995,0.12877868,0.6096995,0.6096995,0.7753478
16,5692,0.19435707,0.27632433,0.08192304,0.27632433,0.27632433,0.19435707
17,3043,0.5021493,0.57016134,0.13819985,0.57016134,0.57016134,0.5021493
18,12885,0.19350755,0.19499186,0.06376886,0.19499186,0.19499186,0.19350755
19,13548,0.5326389,0.5063746,0.09902384,0.5063746,0.5063746,0.5326389
20,14635,0.20076787,0.2041571,0.059720684,0.2041571,0.2041571,0.20076787
21,5786,0.23719642,0.19088049,0.053719137,0.19088049,0.19088049,0.23719642
22,3425,0.5022165,0.44575778,0.12706248,0.44575778,0.44575778,0.5022165
23,14911,0.39011458,0.3571141,0.08011769,0.3571141,0.3571141,0.39011458
24,7921,0.9680749,0.5698551,0.12561682,0.5698551,0.5698551,0.9680749
