,id,truth_scaled,prediction0,logstd0,avg_prediction_scaled,prediction,truth
0,2678,0.38100266,0.54627377,0.09035425,0.54627377,0.54627377,0.38100266
1,3919,0.24739255,0.19917311,0.015477833,0.19917311,0.19917311,0.24739255
2,828,0.5450841,0.49779555,0.075577945,0.49779555,0.49779555,0.5450841
3,10972,0.16809356,0.311053,0.038132064,0.311053,0.311053,0.16809356
4,15974,0.4045518,0.45084316,0.029628009,0.45084316,0.45084316,0.4045518
5,4688,0.22146304,0.15305352,0.018377634,0.15305352,0.15305352,0.22146304
6,102,0.20137325,0.14973022,0.03993603,0.14973022,0.14973022,0.20137325
7,6921,0.6623417,0.57585055,0.07402351,0.57585055,0.57585055,0.6623417
8,3383,0.39637616,0.35096642,0.038932852,0.35096642,0.35096642,0.39637616
9,2935,0.5112077,0.48164877,0.052299436,0.48164877,0.48164877,0.5112077
10,7704,0.2650437,0.39939082,0.09792097,0.39939082,0.39939082,0.2650437
11,1453,0.29742172,0.18497333,0.034278993,0.18497333,0.18497333,0.29742172
12,5168,0.5964593,0.6381233,0.091773495,0.6381233,0.6381233,0.5964593
13,9657,0.4059807,0.5918536,0.09633077,0.5918536,0.5918536,0.4059807
14,11501,0.50249803,0.6183656,0.076324284,0.6183656,0.6183656,0.50249803
15,13010,0.7753478,0.58648187,0.079629645,0.58648187,0.58648187,0.7753478
16,5692,0.19435707,0.27158493,0.037089773,0.27158493,0.27158493,0.19435707
17,3043,0.5021493,0.5290733,0.072641104,0.5290733,0.5290733,0.5021493
18,12885,0.19350755,0.21618745,0.040796973,0.21618745,0.21618745,0.19350755
19,13548,0.5326389,0.6058376,0.06794666,0.6058376,0.6058376,0.5326389
20,14635,0.20076787,0.18904158,0.030118348,0.18904158,0.18904158,0.20076787
21,5786,0.23719642,0.15288556,0.031512845,0.15288556,0.15288556,0.23719642
22,3425,0.5022165,0.4648149,0.081543125,0.4648149,0.4648149,0.5022165
23,14911,0.39011458,0.397789,0.028156694,0.397789,0.397789,0.39011458
24,7921,0.9680749,0.59229934,0.08785669,0.59229934,0.59229934,0.9680749
25,8585,0.7098354,0.62945676,0.0798831,0.62945676,0.62945676,0.7098354
26,15038,0.40096185,0.47283363,0.06419366,0.47283363,0.47283363,0.40096185
27,3616,0.16608296,0.25915927,0.02750869,0.25915927,0.25915927,0.16608296
28,2676,0.16703689,0.247745,0.037966497,0.247745,0.247745,0.16703689
29,12682,0.9112518,0.5173184,0.09036918,0.5173184,0.5173184,0.9112518
30,2948,0.4104723,0.45522255,0.040480316,0.45522255,0.45522255,0.4104723
31,11790,0.22813159,0.2306892,0.033006884,0.2306892,0.2306892,0.22813159
32,14954,0.24166507,0.26028743,0.038504213,0.26028743,0.26028743,0.24166507
33,6367,0.508972,0.57366645,0.047816876,0.57366645,0.57366645,0.508972
34,9997,0.68062645,0.6744215,0.039221566,0.6744215,0.6744215,0.68062645
35,8485,0.34197658,0.41875118,0.027383594,0.41875118,0.41875118,0.34197658
36,14778,0.4228074,0.45020235,0.03700973,0.45020235,0.45020235,0.4228074
37,14041,0.17017716,0.24403116,0.03377708,0.24403116,0.24403116,0.17017716
38,6529,0.60363424,0.5839936,0.11450553,0.5839936,0.5839936,0.60363424
39,11518,0.18427037,0.1286333,0.015477066,0.1286333,0.1286333,0.18427037
40,12227,0.5520932,0.47997054,0.06297818,0.47997054,0.47997054,0.5520932
41,2861,0.2911605,0.34536213,0.0595774,0.34536213,0.34536213,0.2911605
42,6339,0.45375168,0.5801365,0.096065454,0.5801365,0.5801365,0.45375168
43,7584,0.4160852,0.4965898,0.055629566,0.4965898,0.4965898,0.4160852
44,2932,0.56911856,0.52721006,0.03916806,0.52721006,0.52721006,0.56911856
45,9862,0.17901166,0.16543126,0.019383106,0.16543126,0.16543126,0.17901166
46,4375,0.46505237,0.39652765,0.06655781,0.39652765,0.39652765,0.46505237
47,11930,0.23710112,0.2110677,0.04507094,0.2110677,0.2110677,0.23710112
48,11281,0.25826165,0.2536728,0.034450885,0.2536728,0.2536728,0.25826165
49,6333,0.395019,0.45028135,0.09276517,0.45028135,0.45028135,0.395019
50,12959,0.6961884,0.52222914,0.059313476,0.52222914,0.52222914,0.6961884
51,14102,0.70203394,0.350646,0.076072216,0.350646,0.350646,0.70203394
52,3635,0.5140164,0.32046512,0.037350263,0.32046512,0.32046512,0.5140164
53,2684,0.46619675,0.43536037,0.09646097,0.43536037,0.43536037,0.46619675
54,10797,0.19648436,0.21746662,0.033138312,0.21746662,0.21746662,0.19648436
55,1213,0.24373257,0.23370445,0.03144472,0.23370445,0.23370445,0.24373257
56,4671,0.42981088,0.49290487,0.062383685,0.49290487,0.49290487,0.42981088
57,11113,0.77046275,0.64110893,0.08879924,0.64110893,0.64110893,0.77046275
58,4139,0.30589548,0.3922525,0.051901583,0.3922525,0.3922525,0.30589548
59,736,0.51917064,0.44887635,0.06489709,0.44887635,0.44887635,0.51917064
60,15553,0.5006622,0.38003704,0.04595331,0.38003704,0.38003704,0.5006622
61,9595,0.33207095,0.33116415,0.03694155,0.33116415,0.33116415,0.33207095
62,1261,0.21074083,0.20967722,0.025221404,0.20967722,0.20967722,0.21074083
63,1889,0.33711815,0.32485223,0.032058507,0.32485223,0.32485223,0.33711815
64,6594,0.4788467,0.5012107,0.03308419,0.5012107,0.5012107,0.4788467
65,11570,0.6170278,0.5497756,0.06722107,0.5497756,0.5497756,0.6170278
66,9234,0.9175223,0.48994803,0.059313234,0.48994803,0.48994803,0.9175223
67,4762,0.6753135,0.55085284,0.08232531,0.55085284,0.55085284,0.6753135
68,16027,0.36814085,0.197279,0.027172871,0.197279,0.197279,0.36814085
69,5550,0.41347167,0.51358646,0.07239787,0.51358646,0.51358646,0.41347167
70,13525,0.39769432,0.3632156,0.046977192,0.3632156,0.3632156,0.39769432
71,88,0.5614303,0.41192356,0.048858974,0.41192356,0.41192356,0.5614303
72,13853,0.6222113,0.5284984,0.081733346,0.5284984,0.5284984,0.6222113
73,11032,0.2064715,0.22348583,0.03104515,0.22348583,0.22348583,0.2064715
74,4772,0.18730506,0.20470223,0.035462648,0.20470223,0.20470223,0.18730506
75,14666,0.3304129,0.29596832,0.04279963,0.29596832,0.29596832,0.3304129
76,14796,0.2139443,0.22528034,0.037343588,0.22528034,0.22528034,0.2139443
77,11266,0.18806705,0.2953936,0.050995134,0.2953936,0.2953936,0.18806705
78,11226,0.21614963,0.2840525,0.03482115,0.2840525,0.2840525,0.21614963
79,12524,0.47388116,0.34177423,0.051683795,0.34177423,0.34177423,0.47388116
80,720,0.43029404,0.4194997,0.02739299,0.4194997,0.4194997,0.43029404
81,15927,0.3642302,0.36898994,0.0429181,0.36898994,0.36898994,0.3642302
82,15990,0.661335,0.50014305,0.059519593,0.50014305,0.50014305,0.661335
83,5958,0.19129017,0.20608321,0.031105014,0.20608321,0.20608321,0.19129017
84,10522,0.23068754,0.2781375,0.036741547,0.2781375,0.2781375,0.23068754
85,6872,0.51431245,0.48504627,0.030155353,0.48504627,0.48504627,0.51431245
86,16072,0.1542363,0.16980961,0.027137036,0.16980961,0.16980961,0.1542363
87,13096,0.49390718,0.5708176,0.104072556,0.5708176,0.5708176,0.49390718
88,10251,0.1661584,0.16790324,0.028160816,0.16790324,0.16790324,0.1661584
89,123,0.40537155,0.50372386,0.056770556,0.50372386,0.50372386,0.40537155
90,3369,0.49106452,0.5535338,0.037545472,0.5535338,0.5535338,0.49106452
91,2626,0.49005577,0.5134332,0.037959173,0.5134332,0.5134332,0.49005577
92,1748,0.50838387,0.49975464,0.115107276,0.49975464,0.49975464,0.50838387
93,5613,0.42384726,0.43008083,0.05093603,0.43008083,0.43008083,0.42384726
94,8299,0.6183466,0.54343486,0.067920044,0.54343486,0.54343486,0.6183466
95,10356,0.5525488,0.56200457,0.061667375,0.56200457,0.56200457,0.5525488
96,6415,0.42155507,0.6252337,0.063431084,0.6252337,0.6252337,0.42155507
97,2087,0.51298356,0.41677588,0.04640571,0.41677588,0.41677588,0.51298356
98,5228,0.52022827,0.48550153,0.09596038,0.48550153,0.48550153,0.52022827
99,2589,0.9800209,0.51361233,0.06736333,0.51361233,0.51361233,0.9800209
100,8019,0.34997633,0.38168612,0.042859614,0.38168612,0.38168612,0.34997633
101,11321,0.49414915,0.4615275,0.034196228,0.4615275,0.4615275,0.49414915
102,11076,0.21744443,0.18154016,0.020287665,0.18154016,0.18154016,0.21744443
103,9481,0.2988514,0.356591,0.044114463,0.356591,0.356591,0.2988514
104,6037,0.21358657,0.18562584,0.033069413,0.18562584,0.18562584,0.21358657
105,4074,0.19444966,0.16878037,0.021501347,0.16878037,0.16878037,0.19444966
106,6866,0.38329616,0.39562902,0.028422862,0.39562902,0.39562902,0.38329616
107,4193,0.45551527,0.69529736,0.113603964,0.69529736,0.69529736,0.45551527
108,11468,0.4943787,0.5372939,0.08574917,0.5372939,0.5372939,0.4943787
109,3842,0.20736742,0.2574924,0.053560276,0.2574924,0.2574924,0.20736742
110,6436,0.14972606,0.17601012,0.028857596,0.17601012,0.17601012,0.14972606
111,10884,0.24281564,0.29163104,0.035097335,0.29163104,0.29163104,0.24281564
112,2189,0.4861158,0.5026333,0.033210717,0.5026333,0.5026333,0.4861158
113,15170,0.74198455,0.560043,0.07644347,0.560043,0.560043,0.74198455
114,2453,0.40208414,0.31074774,0.05696774,0.31074774,0.31074774,0.40208414
115,11784,0.4197436,0.5203313,0.06887439,0.5203313,0.5203313,0.4197436
116,9612,0.43802112,0.23843968,0.02774301,0.23843968,0.23843968,0.43802112
117,13119,0.2041163,0.17866561,0.025535248,0.17866561,0.17866561,0.2041163
118,6630,0.40752342,0.45766127,0.040394377,0.45766127,0.45766127,0.40752342
119,7709,0.44457144,0.3735468,0.04863467,0.3735468,0.3735468,0.44457144
120,11087,0.49561343,0.5632917,0.06105283,0.5632917,0.5632917,0.49561343
121,2145,0.29976064,0.50725347,0.09773442,0.50725347,0.50725347,0.29976064
122,14974,0.2019847,0.18686128,0.028346479,0.18686128,0.18686128,0.2019847
123,1655,0.3203493,0.2885466,0.03830132,0.2885466,0.2885466,0.3203493
124,12058,0.44789356,0.43106487,0.0465983,0.43106487,0.43106487,0.44789356
125,6741,0.31285942,0.3308343,0.03083457,0.3308343,0.3308343,0.31285942
126,9682,0.40633833,0.43180797,0.050882246,0.43180797,0.43180797,0.40633833
127,6831,0.22368015,0.21129096,0.036883537,0.21129096,0.21129096,0.22368015
128,12973,0.5550136,0.5690965,0.062736586,0.5690965,0.5690965,0.5550136
129,304,0.7005658,0.54876006,0.1242355,0.54876006,0.54876006,0.7005658
130,14399,0.41385257,0.24775243,0.042369314,0.24775243,0.24775243,0.41385257
131,10546,0.27367157,0.18794832,0.025949325,0.18794832,0.18794832,0.27367157
132,4353,0.40285563,0.5284165,0.054993875,0.5284165,0.5284165,0.40285563
133,10550,0.35161692,0.3946765,0.0761379,0.3946765,0.3946765,0.35161692
134,2405,0.34048045,0.33157384,0.03773612,0.33157384,0.33157384,0.34048045
135,6803,0.20224649,0.19877595,0.021335676,0.19877595,0.19877595,0.20224649
136,426,0.33469233,0.29200032,0.047091473,0.29200032,0.29200032,0.33469233
137,5747,0.45074895,0.3797824,0.05540801,0.3797824,0.3797824,0.45074895
138,5375,0.15489438,0.21997577,0.043456238,0.21997577,0.21997577,0.15489438
139,12176,0.4937624,0.47643387,0.050352268,0.47643387,0.47643387,0.4937624
140,12184,0.18477239,0.3169002,0.026940975,0.3169002,0.3169002,0.18477239
141,101,0.16454618,0.14065802,0.008868985,0.14065802,0.14065802,0.16454618
142,5459,0.6014747,0.4755155,0.077321924,0.4755155,0.4755155,0.6014747
143,9368,0.21282266,0.21698022,0.022828635,0.21698022,0.21698022,0.21282266
144,15989,0.20765968,0.21514973,0.03980628,0.21514973,0.21514973,0.20765968
145,7716,0.76138866,0.5550636,0.08604783,0.5550636,0.5550636,0.76138866
146,14847,0.48909584,0.42749867,0.043629993,0.42749867,0.42749867,0.48909584
147,15845,0.18607953,0.30895215,0.10170808,0.30895215,0.30895215,0.18607953
148,7885,0.22283727,0.2299419,0.026090022,0.2299419,0.2299419,0.22283727
149,10263,0.25689724,0.36404467,0.07484998,0.36404467,0.36404467,0.25689724
150,9717,0.9485983,0.58514434,0.08450868,0.58514434,0.58514434,0.9485983
151,12409,0.40850464,0.5561181,0.080449924,0.5561181,0.5561181,0.40850464
152,10005,0.50577015,0.4489605,0.043738123,0.4489605,0.4489605,0.50577015
153,11265,0.559195,0.51774055,0.068077534,0.51774055,0.51774055,0.559195
154,14218,0.70804954,0.5561411,0.042863045,0.5561411,0.5561411,0.70804954
155,1935,0.63188374,0.5174077,0.06639295,0.5174077,0.5174077,0.63188374
156,10252,0.41628402,0.41606537,0.023410242,0.41606537,0.41606537,0.41628402
157,6162,0.8621481,0.6174184,0.02751223,0.6174184,0.6174184,0.8621481
158,9318,0.40338746,0.3393477,0.06701033,0.3393477,0.3393477,0.40338746
159,7671,0.5170137,0.64748126,0.10771494,0.64748126,0.64748126,0.5170137
