,id,truth_scaled,prediction0,logstd0,avg_prediction_scaled,prediction,truth
0,2678,0.38100266,0.56650877,0.0770213,0.56650877,0.56650877,0.38100266
1,3919,0.24739255,0.34211013,0.055602316,0.34211013,0.34211013,0.24739255
2,828,0.5450841,0.46189696,0.06595276,0.46189696,0.46189696,0.5450841
3,10972,0.16809356,0.34701273,0.05790378,0.34701273,0.34701273,0.16809356
4,15974,0.4045518,0.41583565,0.04925365,0.41583565,0.41583565,0.4045518
5,4688,0.22146304,0.17484066,0.025476335,0.17484066,0.17484066,0.22146304
6,102,0.20137325,0.15544558,0.058217943,0.15544558,0.15544558,0.20137325
7,6921,0.6623417,0.5905457,0.100136034,0.5905457,0.5905457,0.6623417
8,3383,0.39637616,0.36772636,0.039090272,0.36772636,0.36772636,0.39637616
9,2935,0.5112077,0.50323814,0.0779584,0.50323814,0.50323814,0.5112077
10,7704,0.2650437,0.46112633,0.11068471,0.46112633,0.46112633,0.2650437
11,1453,0.29742172,0.19540764,0.040809043,0.19540764,0.19540764,0.29742172
12,5168,0.5964593,0.61612785,0.110500425,0.61612785,0.61612785,0.5964593
13,9657,0.4059807,0.61295104,0.14067912,0.61295104,0.61295104,0.4059807
14,11501,0.50249803,0.61979944,0.097275645,0.61979944,0.61979944,0.50249803
15,13010,0.7753478,0.61125886,0.09713865,0.61125886,0.61125886,0.7753478
16,5692,0.19435707,0.24706829,0.047924936,0.24706829,0.24706829,0.19435707
17,3043,0.5021493,0.5621326,0.09215039,0.5621326,0.5621326,0.5021493
18,12885,0.19350755,0.19487438,0.03883336,0.19487438,0.19487438,0.19350755
19,13548,0.5326389,0.56408334,0.09547178,0.56408334,0.56408334,0.5326389
20,14635,0.20076787,0.23231506,0.04879189,0.23231506,0.23231506,0.20076787
21,5786,0.23719642,0.19122922,0.040742964,0.19122922,0.19122922,0.23719642
22,3425,0.5022165,0.43746623,0.09489532,0.43746623,0.43746623,0.5022165
23,14911,0.39011458,0.30279484,0.049744815,0.30279484,0.30279484,0.39011458
24,7921,0.9680749,0.58308566,0.10362908,0.58308566,0.58308566,0.9680749
25,8585,0.7098354,0.6102252,0.087701045,0.6102252,0.6102252,0.7098354
26,15038,0.40096185,0.44398382,0.08755967,0.44398382,0.44398382,0.40096185
27,3616,0.16608296,0.23237795,0.049447663,0.23237795,0.23237795,0.16608296
28,2676,0.16703689,0.22429982,0.03516927,0.22429982,0.22429982,0.16703689
29,12682,0.9112518,0.520163,0.10289049,0.520163,0.520163,0.9112518
30,2948,0.4104723,0.47895437,0.070791826,0.47895437,0.47895437,0.4104723
31,11790,0.22813159,0.24934629,0.045479096,0.24934629,0.24934629,0.22813159
32,14954,0.24166507,0.271395,0.06386339,0.271395,0.271395,0.24166507
33,6367,0.508972,0.7141609,0.19556296,0.7141609,0.7141609,0.508972
34,9997,0.68062645,0.7728174,0.074091874,0.7728174,0.7728174,0.68062645
35,8485,0.34197658,0.3837503,0.06390624,0.3837503,0.3837503,0.34197658
36,14778,0.4228074,0.4243454,0.05076479,0.4243454,0.4243454,0.4228074
37,14041,0.17017716,0.24741384,0.03490362,0.24741384,0.24741384,0.17017716
38,6529,0.60363424,0.5350722,0.11186584,0.5350722,0.5350722,0.60363424
39,11518,0.18427037,0.15748814,0.022912227,0.15748814,0.15748814,0.18427037
40,12227,0.5520932,0.4814627,0.07867391,0.4814627,0.4814627,0.5520932
41,2861,0.2911605,0.30808282,0.055010214,0.30808282,0.30808282,0.2911605
42,6339,0.45375168,0.6070216,0.114552796,0.6070216,0.6070216,0.45375168
43,7584,0.4160852,0.47455123,0.08126849,0.47455123,0.47455123,0.4160852
44,2932,0.56911856,0.49727565,0.040851865,0.49727565,0.49727565,0.56911856
45,9862,0.17901166,0.17253616,0.020927567,0.17253616,0.17253616,0.17901166
46,4375,0.46505237,0.39037222,0.078890696,0.39037222,0.39037222,0.46505237
47,11930,0.23710112,0.2628013,0.053068157,0.2628013,0.2628013,0.23710112
48,11281,0.25826165,0.24722958,0.045090966,0.24722958,0.24722958,0.25826165
49,6333,0.395019,0.49352607,0.11822359,0.49352607,0.49352607,0.395019
50,12959,0.6961884,0.49206683,0.07449628,0.49206683,0.49206683,0.6961884
51,14102,0.70203394,0.41322517,0.080832295,0.41322517,0.41322517,0.70203394
52,3635,0.5140164,0.2887192,0.04210982,0.2887192,0.2887192,0.5140164
53,2684,0.46619675,0.4770588,0.08280521,0.4770588,0.4770588,0.46619675
54,10797,0.19648436,0.28359273,0.054537557,0.28359273,0.28359273,0.19648436
55,1213,0.24373257,0.2517815,0.03850146,0.2517815,0.2517815,0.24373257
56,4671,0.42981088,0.5692454,0.058199707,0.5692454,0.5692454,0.42981088
57,11113,0.77046275,0.6833145,0.096653834,0.6833145,0.6833145,0.77046275
58,4139,0.30589548,0.3913759,0.070031986,0.3913759,0.3913759,0.30589548
59,736,0.51917064,0.42100486,0.06800226,0.42100486,0.42100486,0.51917064
60,15553,0.5006622,0.40123993,0.07359031,0.40123993,0.40123993,0.5006622
61,9595,0.33207095,0.355202,0.0375514,0.355202,0.355202,0.33207095
62,1261,0.21074083,0.2342177,0.03405154,0.2342177,0.2342177,0.21074083
63,1889,0.33711815,0.37099883,0.060726512,0.37099883,0.37099883,0.33711815
64,6594,0.4788467,0.49416453,0.06697088,0.49416453,0.49416453,0.4788467
65,11570,0.6170278,0.5101967,0.07079836,0.5101967,0.5101967,0.6170278
66,9234,0.9175223,0.48279336,0.06788972,0.48279336,0.48279336,0.9175223
67,4762,0.6753135,0.5054067,0.08231412,0.5054067,0.5054067,0.6753135
68,16027,0.36814085,0.20104936,0.03157747,0.20104936,0.20104936,0.36814085
69,5550,0.41347167,0.50202924,0.0803967,0.50202924,0.50202924,0.41347167
70,13525,0.39769432,0.31899822,0.065843,0.31899822,0.31899822,0.39769432
71,88,0.5614303,0.42264405,0.0742877,0.42264405,0.42264405,0.5614303
72,13853,0.6222113,0.5340724,0.1018665,0.5340724,0.5340724,0.6222113
73,11032,0.2064715,0.2906365,0.0394937,0.2906365,0.2906365,0.2064715
74,4772,0.18730506,0.23710647,0.04600601,0.23710647,0.23710647,0.18730506
75,14666,0.3304129,0.32271913,0.05533709,0.32271913,0.32271913,0.3304129
76,14796,0.2139443,0.21224988,0.044885002,0.21224988,0.21224988,0.2139443
77,11266,0.18806705,0.31135583,0.06176527,0.31135583,0.31135583,0.18806705
78,11226,0.21614963,0.25776473,0.045543768,0.25776473,0.25776473,0.21614963
79,12524,0.47388116,0.3818061,0.04986099,0.3818061,0.3818061,0.47388116
80,720,0.43029404,0.44666126,0.056975875,0.44666126,0.44666126,0.43029404
81,15927,0.3642302,0.31407937,0.05015874,0.31407937,0.31407937,0.3642302
82,15990,0.661335,0.4977757,0.06642338,0.4977757,0.4977757,0.661335
83,5958,0.19129017,0.21950582,0.043644235,0.21950582,0.21950582,0.19129017
84,10522,0.23068754,0.2855234,0.045201063,0.2855234,0.2855234,0.23068754
85,6872,0.51431245,0.45912102,0.054136097,0.45912102,0.45912102,0.51431245
86,16072,0.1542363,0.18771133,0.03227099,0.18771133,0.18771133,0.1542363
87,13096,0.49390718,0.5853674,0.10732691,0.5853674,0.5853674,0.49390718
88,10251,0.1661584,0.21039492,0.062326465,0.21039492,0.21039492,0.1661584
89,123,0.40537155,0.55073076,0.06600541,0.55073076,0.55073076,0.40537155
90,3369,0.49106452,0.50439787,0.054751076,0.50439787,0.50439787,0.49106452
91,2626,0.49005577,0.41166994,0.057809003,0.41166994,0.41166994,0.49005577
92,1748,0.50838387,0.37942442,0.09341619,0.37942442,0.37942442,0.50838387
