,id,truth_scaled,prediction0,avg_prediction_scaled,prediction,truth
0,2678,0.38100266,0.3508188,0.3508188,0.3508188,0.38100266
1,3919,0.24739255,0.20669271,0.20669271,0.20669271,0.24739255
2,828,0.5450841,0.43602538,0.43602538,0.43602538,0.5450841
3,10972,0.16809356,0.21217608,0.21217608,0.21217608,0.16809356
4,15974,0.4045518,0.43746126,0.43746126,0.43746126,0.4045518
5,4688,0.22146304,0.15416715,0.15416715,0.15416715,0.22146304
6,102,0.20137325,0.13306607,0.13306607,0.13306607,0.20137325
7,6921,0.6623417,0.50962883,0.50962883,0.50962883,0.6623417
8,3383,0.39637616,0.27873582,0.27873582,0.27873582,0.39637616
9,2935,0.5112077,0.45243505,0.45243505,0.45243505,0.5112077
10,7704,0.2650437,0.41172752,0.41172752,0.41172752,0.2650437
11,1453,0.29742172,0.14076413,0.14076413,0.14076413,0.29742172
12,5168,0.5964593,0.5195947,0.5195947,0.5195947,0.5964593
13,9657,0.4059807,0.52781236,0.52781236,0.52781236,0.4059807
14,11501,0.50249803,0.56465304,0.56465304,0.56465304,0.50249803
15,13010,0.7753478,0.54761547,0.54761547,0.54761547,0.7753478
16,5692,0.19435707,0.15300827,0.15300827,0.15300827,0.19435707
17,3043,0.5021493,0.4977671,0.4977671,0.4977671,0.5021493
18,12885,0.19350755,0.15168479,0.15168479,0.15168479,0.19350755
19,13548,0.5326389,0.4248659,0.4248659,0.4248659,0.5326389
20,14635,0.20076787,0.15504542,0.15504542,0.15504542,0.20076787
21,5786,0.23719642,0.13991234,0.13991234,0.13991234,0.23719642
22,3425,0.5022165,0.32470912,0.32470912,0.32470912,0.5022165
23,14911,0.39011458,0.24460673,0.24460673,0.24460673,0.39011458
24,7921,0.9680749,0.4978826,0.4978826,0.4978826,0.9680749
25,8585,0.7098354,0.5877884,0.5877884,0.5877884,0.7098354
26,15038,0.40096185,0.4561786,0.4561786,0.4561786,0.40096185
27,3616,0.16608296,0.12341546,0.12341546,0.12341546,0.16608296
28,2676,0.16703689,0.1499626,0.1499626,0.1499626,0.16703689
29,12682,0.9112518,0.45969746,0.45969746,0.45969746,0.9112518
30,2948,0.4104723,0.44184896,0.44184896,0.44184896,0.4104723
31,11790,0.22813159,0.18650688,0.18650688,0.18650688,0.22813159
32,14954,0.24166507,0.21572536,0.21572536,0.21572536,0.24166507
33,6367,0.508972,0.5176226,0.5176226,0.5176226,0.508972
34,9997,0.68062645,0.6629478,0.6629478,0.6629478,0.68062645
35,8485,0.34197658,0.34564224,0.34564224,0.34564224,0.34197658
36,14778,0.4228074,0.39125606,0.39125606,0.39125606,0.4228074
37,14041,0.17017716,0.20260735,0.20260735,0.20260735,0.17017716
38,6529,0.60363424,0.40438664,0.40438664,0.40438664,0.60363424
39,11518,0.18427037,0.15056817,0.15056817,0.15056817,0.18427037
40,12227,0.5520932,0.44730327,0.44730327,0.44730327,0.5520932
41,2861,0.2911605,0.25499773,0.25499773,0.25499773,0.2911605
42,6339,0.45375168,0.44648537,0.44648537,0.44648537,0.45375168
43,7584,0.4160852,0.45679408,0.45679408,0.45679408,0.4160852
44,2932,0.56911856,0.38902932,0.38902932,0.38902932,0.56911856
