,id,truth_scaled,prediction0,avg_prediction_scaled,prediction,truth
0,2678,0.38100266,0.40573668,0.40573668,0.40573668,0.38100266
1,3919,0.24739255,0.19717814,0.19717814,0.19717814,0.24739255
2,828,0.5450841,0.45669237,0.45669237,0.45669237,0.5450841
3,10972,0.16809356,0.30242032,0.30242032,0.30242032,0.16809356
4,15974,0.4045518,0.4127244,0.4127244,0.4127244,0.4045518
5,4688,0.22146304,0.15883139,0.15883139,0.15883139,0.22146304
6,102,0.20137325,0.13496606,0.13496606,0.13496606,0.20137325
7,6921,0.6623417,0.5244963,0.5244963,0.5244963,0.6623417
8,3383,0.39637616,0.24442147,0.24442147,0.24442147,0.39637616
9,2935,0.5112077,0.48827723,0.48827723,0.48827723,0.5112077
10,7704,0.2650437,0.34721696,0.34721696,0.34721696,0.2650437
11,1453,0.29742172,0.16871956,0.16871956,0.16871956,0.29742172
12,5168,0.5964593,0.47203183,0.47203183,0.47203183,0.5964593
13,9657,0.4059807,0.53799224,0.53799224,0.53799224,0.4059807
14,11501,0.50249803,0.4875,0.4875,0.4875,0.50249803
15,13010,0.7753478,0.5404586,0.5404586,0.5404586,0.7753478
16,5692,0.19435707,0.18975258,0.18975258,0.18975258,0.19435707
17,3043,0.5021493,0.47167608,0.47167608,0.47167608,0.5021493
18,12885,0.19350755,0.1785471,0.1785471,0.1785471,0.19350755
19,13548,0.5326389,0.4296271,0.4296271,0.4296271,0.5326389
20,14635,0.20076787,0.17023584,0.17023584,0.17023584,0.20076787
21,5786,0.23719642,0.16098064,0.16098064,0.16098064,0.23719642
22,3425,0.5022165,0.33513278,0.33513278,0.33513278,0.5022165
23,14911,0.39011458,0.35865423,0.35865423,0.35865423,0.39011458
24,7921,0.9680749,0.53497195,0.53497195,0.53497195,0.9680749
25,8585,0.7098354,0.47730654,0.47730654,0.47730654,0.7098354
26,15038,0.40096185,0.4865538,0.4865538,0.4865538,0.40096185
27,3616,0.16608296,0.16660374,0.16660374,0.16660374,0.16608296
28,2676,0.16703689,0.19347738,0.19347738,0.19347738,0.16703689
29,12682,0.9112518,0.48400757,0.48400757,0.48400757,0.9112518
30,2948,0.4104723,0.33607593,0.33607593,0.33607593,0.4104723
31,11790,0.22813159,0.20851581,0.20851581,0.20851581,0.22813159
32,14954,0.24166507,0.2336694,0.2336694,0.2336694,0.24166507
33,6367,0.508972,0.5814288,0.5814288,0.5814288,0.508972
34,9997,0.68062645,0.71982616,0.71982616,0.71982616,0.68062645
35,8485,0.34197658,0.42697573,0.42697573,0.42697573,0.34197658
36,14778,0.4228074,0.4262458,0.4262458,0.4262458,0.4228074
37,14041,0.17017716,0.21065356,0.21065356,0.21065356,0.17017716
38,6529,0.60363424,0.46040708,0.46040708,0.46040708,0.60363424
39,11518,0.18427037,0.124558836,0.124558836,0.124558836,0.18427037
40,12227,0.5520932,0.47708738,0.47708738,0.47708738,0.5520932
41,2861,0.2911605,0.23138456,0.23138456,0.23138456,0.2911605
42,6339,0.45375168,0.4365732,0.4365732,0.4365732,0.45375168
43,7584,0.4160852,0.46111634,0.46111634,0.46111634,0.4160852
44,2932,0.56911856,0.40597183,0.40597183,0.40597183,0.56911856
45,9862,0.17901166,0.15240322,0.15240322,0.15240322,0.17901166
46,4375,0.46505237,0.37830746,0.37830746,0.37830746,0.46505237
47,11930,0.23710112,0.16845098,0.16845098,0.16845098,0.23710112
48,11281,0.25826165,0.17565465,0.17565465,0.17565465,0.25826165
49,6333,0.395019,0.40425587,0.40425587,0.40425587,0.395019
50,12959,0.6961884,0.3676383,0.3676383,0.3676383,0.6961884
51,14102,0.70203394,0.4807101,0.4807101,0.4807101,0.70203394
52,3635,0.5140164,0.28336275,0.28336275,0.28336275,0.5140164
53,2684,0.46619675,0.42528743,0.42528743,0.42528743,0.46619675
54,10797,0.19648436,0.22494124,0.22494124,0.22494124,0.19648436
55,1213,0.24373257,0.22705951,0.22705951,0.22705951,0.24373257
56,4671,0.42981088,0.5207873,0.5207873,0.5207873,0.42981088
57,11113,0.77046275,0.5848368,0.5848368,0.5848368,0.77046275
58,4139,0.30589548,0.33514953,0.33514953,0.33514953,0.30589548
59,736,0.51917064,0.43372712,0.43372712,0.43372712,0.51917064
60,15553,0.5006622,0.39082345,0.39082345,0.39082345,0.5006622
61,9595,0.33207095,0.32849422,0.32849422,0.32849422,0.33207095
62,1261,0.21074083,0.15809405,0.15809405,0.15809405,0.21074083
63,1889,0.33711815,0.35847992,0.35847992,0.35847992,0.33711815
64,6594,0.4788467,0.3280989,0.3280989,0.3280989,0.4788467
65,11570,0.6170278,0.4811911,0.4811911,0.4811911,0.6170278
66,9234,0.9175223,0.43491694,0.43491694,0.43491694,0.9175223
67,4762,0.6753135,0.46288437,0.46288437,0.46288437,0.6753135
68,16027,0.36814085,0.17702048,0.17702048,0.17702048,0.36814085
69,5550,0.41347167,0.42297983,0.42297983,0.42297983,0.41347167
70,13525,0.39769432,0.3122791,0.3122791,0.3122791,0.39769432
71,88,0.5614303,0.4247204,0.4247204,0.4247204,0.5614303
72,13853,0.6222113,0.420906,0.420906,0.420906,0.6222113
73,11032,0.2064715,0.21474357,0.21474357,0.21474357,0.2064715
74,4772,0.18730506,0.1776017,0.1776017,0.1776017,0.18730506
75,14666,0.3304129,0.27052253,0.27052253,0.27052253,0.3304129
76,14796,0.2139443,0.16409996,0.16409996,0.16409996,0.2139443
77,11266,0.18806705,0.27301174,0.27301174,0.27301174,0.18806705
78,11226,0.21614963,0.22071601,0.22071601,0.22071601,0.21614963
79,12524,0.47388116,0.36481738,0.36481738,0.36481738,0.47388116
80,720,0.43029404,0.39149433,0.39149433,0.39149433,0.43029404
81,15927,0.3642302,0.23028873,0.23028873,0.23028873,0.3642302
82,15990,0.661335,0.45318514,0.45318514,0.45318514,0.661335
83,5958,0.19129017,0.16634186,0.16634186,0.16634186,0.19129017
84,10522,0.23068754,0.22405244,0.22405244,0.22405244,0.23068754
85,6872,0.51431245,0.508031,0.508031,0.508031,0.51431245
86,16072,0.1542363,0.15965003,0.15965003,0.15965003,0.1542363
87,13096,0.49390718,0.46402115,0.46402115,0.46402115,0.49390718
88,10251,0.1661584,0.17581989,0.17581989,0.17581989,0.1661584
89,123,0.40537155,0.445286,0.445286,0.445286,0.40537155
90,3369,0.49106452,0.4733364,0.4733364,0.4733364,0.49106452
91,2626,0.49005577,0.3340276,0.3340276,0.3340276,0.49005577
92,1748,0.50838387,0.37098643,0.37098643,0.37098643,0.50838387
93,5613,0.42384726,0.41898873,0.41898873,0.41898873,0.42384726
94,8299,0.6183466,0.5026079,0.5026079,0.5026079,0.6183466
95,10356,0.5525488,0.5259986,0.5259986,0.5259986,0.5525488
96,6415,0.42155507,0.4433288,0.4433288,0.4433288,0.42155507
97,2087,0.51298356,0.44365883,0.44365883,0.44365883,0.51298356
98,5228,0.52022827,0.47077876,0.47077876,0.47077876,0.52022827
99,2589,0.9800209,0.46196866,0.46196866,0.46196866,0.9800209
100,8019,0.34997633,0.37531498,0.37531498,0.37531498,0.34997633
101,11321,0.49414915,0.37876046,0.37876046,0.37876046,0.49414915
102,11076,0.21744443,0.18732788,0.18732788,0.18732788,0.21744443
103,9481,0.2988514,0.33528602,0.33528602,0.33528602,0.2988514
104,6037,0.21358657,0.16473281,0.16473281,0.16473281,0.21358657
105,4074,0.19444966,0.16633937,0.16633937,0.16633937,0.19444966
106,6866,0.38329616,0.41900846,0.41900846,0.41900846,0.38329616
107,4193,0.45551527,0.5932215,0.5932215,0.5932215,0.45551527
108,11468,0.4943787,0.48905644,0.48905644,0.48905644,0.4943787
109,3842,0.20736742,0.2842499,0.2842499,0.2842499,0.20736742
110,6436,0.14972606,0.16164273,0.16164273,0.16164273,0.14972606
111,10884,0.24281564,0.22846285,0.22846285,0.22846285,0.24281564
112,2189,0.4861158,0.46933886,0.46933886,0.46933886,0.4861158
113,15170,0.74198455,0.4962594,0.4962594,0.4962594,0.74198455
114,2453,0.40208414,0.41696817,0.41696817,0.41696817,0.40208414
115,11784,0.4197436,0.43114805,0.43114805,0.43114805,0.4197436
116,9612,0.43802112,0.25322774,0.25322774,0.25322774,0.43802112
117,13119,0.2041163,0.14807288,0.14807288,0.14807288,0.2041163
118,6630,0.40752342,0.40447643,0.40447643,0.40447643,0.40752342
119,7709,0.44457144,0.39993477,0.39993477,0.39993477,0.44457144
120,11087,0.49561343,0.52494353,0.52494353,0.52494353,0.49561343
121,2145,0.29976064,0.43251652,0.43251652,0.43251652,0.29976064
122,14974,0.2019847,0.17297894,0.17297894,0.17297894,0.2019847
123,1655,0.3203493,0.21682851,0.21682851,0.21682851,0.3203493
124,12058,0.44789356,0.44747278,0.44747278,0.44747278,0.44789356
125,6741,0.31285942,0.21203892,0.21203892,0.21203892,0.31285942
126,9682,0.40633833,0.3947797,0.3947797,0.3947797,0.40633833
127,6831,0.22368015,0.18455276,0.18455276,0.18455276,0.22368015
128,12973,0.5550136,0.5216292,0.5216292,0.5216292,0.5550136
129,304,0.7005658,0.46974802,0.46974802,0.46974802,0.7005658
130,14399,0.41385257,0.18180068,0.18180068,0.18180068,0.41385257
131,10546,0.27367157,0.17257345,0.17257345,0.17257345,0.27367157
132,4353,0.40285563,0.50226706,0.50226706,0.50226706,0.40285563
133,10550,0.35161692,0.37910086,0.37910086,0.37910086,0.35161692
134,2405,0.34048045,0.30832323,0.30832323,0.30832323,0.34048045
135,6803,0.20224649,0.21746847,0.21746847,0.21746847,0.20224649
136,426,0.33469233,0.24535252,0.24535252,0.24535252,0.33469233
137,5747,0.45074895,0.21377619,0.21377619,0.21377619,0.45074895
138,5375,0.15489438,0.17843643,0.17843643,0.17843643,0.15489438
139,12176,0.4937624,0.4374416,0.4374416,0.4374416,0.4937624
140,12184,0.18477239,0.31804514,0.31804514,0.31804514,0.18477239
141,101,0.16454618,0.22946946,0.22946946,0.22946946,0.16454618
142,5459,0.6014747,0.4003914,0.4003914,0.4003914,0.6014747
143,9368,0.21282266,0.19471276,0.19471276,0.19471276,0.21282266
144,15989,0.20765968,0.20994529,0.20994529,0.20994529,0.20765968
145,7716,0.76138866,0.48181152,0.48181152,0.48181152,0.76138866
146,14847,0.48909584,0.33484563,0.33484563,0.33484563,0.48909584
147,15845,0.18607953,0.14239727,0.14239727,0.14239727,0.18607953
148,7885,0.22283727,0.1934776,0.1934776,0.1934776,0.22283727
149,10263,0.25689724,0.33999264,0.33999264,0.33999264,0.25689724
150,9717,0.9485983,0.5097825,0.5097825,0.5097825,0.9485983
151,12409,0.40850464,0.32161248,0.32161248,0.32161248,0.40850464
152,10005,0.50577015,0.4415998,0.4415998,0.4415998,0.50577015
153,11265,0.559195,0.41245428,0.41245428,0.41245428,0.559195
154,14218,0.70804954,0.46440688,0.46440688,0.46440688,0.70804954
155,1935,0.63188374,0.4460541,0.4460541,0.4460541,0.63188374
156,10252,0.41628402,0.38738042,0.38738042,0.38738042,0.41628402
157,6162,0.8621481,0.5162566,0.5162566,0.5162566,0.8621481
158,9318,0.40338746,0.2446424,0.2446424,0.2446424,0.40338746
159,7671,0.5170137,0.5213714,0.5213714,0.5213714,0.5170137
160,2154,0.44455987,0.17504977,0.17504977,0.17504977,0.44455987
161,3745,0.4494074,0.39804292,0.39804292,0.39804292,0.4494074
162,9360,0.2503802,0.19132078,0.19132078,0.19132078,0.2503802
163,5094,0.41501,0.44583923,0.44583923,0.44583923,0.41501
164,3651,0.40347722,0.20573193,0.20573193,0.20573193,0.40347722
165,14022,0.4587638,0.42242193,0.42242193,0.42242193,0.4587638
166,5963,0.42866036,0.37956798,0.37956798,0.37956798,0.42866036
167,2177,0.76745546,0.47552323,0.47552323,0.47552323,0.76745546
168,10548,0.4323429,0.64690506,0.64690506,0.64690506,0.4323429
169,13291,0.541386,0.40308756,0.40308756,0.40308756,0.541386
170,8009,0.23253432,0.1763201,0.1763201,0.1763201,0.23253432
171,14553,0.4787569,0.49724525,0.49724525,0.49724525,0.4787569
172,15476,0.56612116,0.49427876,0.49427876,0.49427876,0.56612116
173,9383,0.23575279,0.24289778,0.24289778,0.24289778,0.23575279
174,11340,0.42206025,0.4223799,0.4223799,0.4223799,0.42206025
175,4089,0.45815927,0.35911012,0.35911012,0.35911012,0.45815927
176,11967,0.42349458,0.60648894,0.60648894,0.60648894,0.42349458
177,9418,0.31399336,0.22749725,0.22749725,0.22749725,0.31399336
178,10496,0.54889876,0.3439544,0.3439544,0.3439544,0.54889876
179,169,0.30046174,0.1681539,0.1681539,0.1681539,0.30046174
180,12278,0.27644485,0.37458366,0.37458366,0.37458366,0.27644485
181,6202,0.5274919,0.50958085,0.50958085,0.50958085,0.5274919
182,4863,0.49661595,0.4074719,0.4074719,0.4074719,0.49661595
183,1199,0.20602006,0.17555438,0.17555438,0.17555438,0.20602006
184,735,0.69826823,0.5315931,0.5315931,0.5315931,0.69826823
185,5562,0.6771031,0.47528073,0.47528073,0.47528073,0.6771031
186,7300,0.4753094,0.48469755,0.48469755,0.48469755,0.4753094
187,2439,0.61298025,0.4796665,0.4796665,0.4796665,0.61298025
188,8284,0.28646123,0.26410726,0.26410726,0.26410726,0.28646123
189,10721,0.63179535,0.7343652,0.7343652,0.7343652,0.63179535
190,15910,0.83853287,0.5765657,0.5765657,0.5765657,0.83853287
191,3288,0.18785311,0.23926839,0.23926839,0.23926839,0.18785311
192,12036,0.14187364,0.1701257,0.1701257,0.1701257,0.14187364
193,4337,0.31407422,0.33592626,0.33592626,0.33592626,0.31407422
194,1984,0.20837538,0.20170571,0.20170571,0.20170571,0.20837538
195,7953,0.16312361,0.1610638,0.1610638,0.1610638,0.16312361
196,6070,0.65872085,0.45854282,0.45854282,0.45854282,0.65872085
197,8372,0.15236324,0.17176668,0.17176668,0.17176668,0.15236324
198,8541,0.45120916,0.53315127,0.53315127,0.53315127,0.45120916
199,4329,0.69808394,0.53149253,0.53149253,0.53149253,0.69808394
200,5015,0.4272803,0.41010416,0.41010416,0.41010416,0.4272803
201,6853,0.3625356,0.28009307,0.28009307,0.28009307,0.3625356
202,5900,0.31412613,0.3356651,0.3356651,0.3356651,0.31412613
203,3449,0.4068137,0.21393381,0.21393381,0.21393381,0.4068137
204,4119,0.15252243,0.15900472,0.15900472,0.15900472,0.15252243
205,5652,0.49477854,0.44483185,0.44483185,0.44483185,0.49477854
206,7792,0.61066526,0.53344154,0.53344154,0.53344154,0.61066526
207,3865,0.41609812,0.42902285,0.42902285,0.42902285,0.41609812
208,387,0.47979143,0.43670002,0.43670002,0.43670002,0.47979143
209,1632,0.14373071,0.15840563,0.15840563,0.15840563,0.14373071
210,150,0.81340563,0.7789326,0.7789326,0.7789326,0.81340563
211,6685,0.51325923,0.45101696,0.45101696,0.45101696,0.51325923
212,6050,0.3025756,0.18638343,0.18638343,0.18638343,0.3025756
213,13195,0.2922015,0.21383172,0.21383172,0.21383172,0.2922015
214,7887,0.69267696,0.42283648,0.42283648,0.42283648,0.69267696
215,14036,0.6177137,0.5647443,0.5647443,0.5647443,0.6177137
216,13702,0.25217676,0.20558757,0.20558757,0.20558757,0.25217676
217,5598,0.41719416,0.1789628,0.1789628,0.1789628,0.41719416
218,9125,0.7337299,0.55889773,0.55889773,0.55889773,0.7337299
219,12121,0.1881231,0.18402629,0.18402629,0.18402629,0.1881231
220,14913,0.47144437,0.441903,0.441903,0.441903,0.47144437
221,6501,0.45949867,0.49029723,0.49029723,0.49029723,0.45949867
222,12291,0.4361389,0.43477786,0.43477786,0.43477786,0.4361389
223,3468,0.44637108,0.45199794,0.45199794,0.45199794,0.44637108
224,15829,0.18848543,0.20005846,0.20005846,0.20005846,0.18848543
225,8922,0.35862765,0.29305953,0.29305953,0.29305953,0.35862765
226,291,0.6156729,0.45956308,0.45956308,0.45956308,0.6156729
227,977,0.1423917,0.2696668,0.2696668,0.2696668,0.1423917
228,14149,0.46872398,0.5113957,0.5113957,0.5113957,0.46872398
229,3463,0.5156072,0.4086939,0.4086939,0.4086939,0.5156072
230,6902,0.49232495,0.4830323,0.4830323,0.4830323,0.49232495
231,15824,0.64857185,0.50506896,0.50506896,0.50506896,0.64857185
232,13495,0.77114123,0.45567977,0.45567977,0.45567977,0.77114123
233,9870,0.20666893,0.19139339,0.19139339,0.19139339,0.20666893
234,11838,0.21217752,0.16486953,0.16486953,0.16486953,0.21217752
235,14870,0.68357986,0.5024481,0.5024481,0.5024481,0.68357986
236,2595,0.5522245,0.45571214,0.45571214,0.45571214,0.5522245
237,12501,0.514362,0.45724356,0.45724356,0.45724356,0.514362
238,13190,0.6199088,0.4677744,0.4677744,0.4677744,0.6199088
239,9314,0.16223897,0.16969162,0.16969162,0.16969162,0.16223897
240,8000,0.4514015,0.24057901,0.24057901,0.24057901,0.4514015
241,5098,0.45053402,0.4418109,0.4418109,0.4418109,0.45053402
242,14850,0.59201825,0.504812,0.504812,0.504812,0.59201825
243,8897,0.45043612,0.37619928,0.37619928,0.37619928,0.45043612
244,5323,0.24822144,0.18405387,0.18405387,0.18405387,0.24822144
245,13396,0.17429186,0.18384272,0.18384272,0.18384272,0.17429186
246,8665,0.23466797,0.20156768,0.20156768,0.20156768,0.23466797
247,10499,0.25267106,0.17930238,0.17930238,0.17930238,0.25267106
